Student_ID,University_Rating,School_Size,Region,Major_Category,GPA,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received,Time_to_Offer_Days,Offer_Salary,Company_Size_Offered,Role_Relevance,Accepted_Offer
STU_000001,Mid-tier,Medium,West,Healthcare,2.81,3,2,6,LinkedIn,1,9,2,2,1,46.0,59785.0,Mid-Size,9.0,1.0
STU_000002,Lower-tier,Medium,Northeast,STEM,2.61,1,1,6,Handshake,1,5,1,0,0,,,,,
STU_000003,Lower-tier,Medium,Midwest,STEM,3.53,3,2,2,Handshake,5,34,3,1,0,,,,,
STU_000004,Mid-tier,Medium,Midwest,Business,2.73,0,2,1,Handshake,2,10,0,0,0,,,,,
STU_000005,Mid-tier,Medium,South,Business,4.0,1,0,1,Indeed,5,65,0,0,0,,,,,
STU_000006,Mid-tier,Large,Midwest,Business,4.0,0,4,1,Handshake,2,6,0,0,0,,,,,
STU_000007,Top-tier,Large,West,STEM,3.28,2,0,7,Handshake,10,20,0,0,0,,,,,
STU_000008,Lower-tier,Large,West,Business,2.62,2,3,7,LinkedIn,10,76,3,0,0,,,,,
STU_000009,Mid-tier,Medium,Northeast,STEM,3.01,0,3,2,Handshake,7,19,2,1,1,31.0,69910.0,Mid-Size,7.0,1.0
STU_000010,Lower-tier,Medium,West,STEM,3.22,2,1,1,Indeed,6,67,2,1,1,38.0,73669.0,Startup,1.0,1.0
STU_000011,Top-tier,Small,Midwest,STEM,3.59,2,1,3,LinkedIn,5,31,2,2,1,66.0,83426.0,Enterprise,6.0,1.0
STU_000012,Lower-tier,Large,West,Business,2.68,2,0,3,LinkedIn,9,108,1,0,0,,,,,
STU_000013,Lower-tier,Medium,West,Healthcare,2.82,1,3,2,Indeed,5,79,0,0,0,,,,,
STU_000014,Mid-tier,Medium,Midwest,Humanities,2.58,3,2,1,LinkedIn,6,28,2,1,1,55.0,65189.0,Mid-Size,7.0,1.0
STU_000015,Mid-tier,Small,Midwest,Business,2.71,1,3,2,Handshake,4,14,2,2,1,31.0,87515.0,Startup,8.0,1.0
STU_000016,Mid-tier,Large,Midwest,Healthcare,3.18,1,2,2,Indeed,12,128,1,1,0,,,,,
STU_000017,Mid-tier,Medium,South,Business,2.95,1,2,4,LinkedIn,5,54,2,0,0,,,,,
STU_000018,Mid-tier,Medium,Midwest,Business,3.31,2,1,2,LinkedIn,10,78,2,1,1,63.0,85695.0,Enterprise,9.0,0.0
STU_000019,Mid-tier,Medium,Midwest,Business,2.95,1,3,4,Indeed,1,16,0,0,0,,,,,
STU_000020,Mid-tier,Small,South,STEM,3.73,1,1,3,Handshake,2,6,2,2,1,27.0,98499.0,Enterprise,9.0,1.0
STU_000021,Mid-tier,Large,West,STEM,3.58,1,0,0,Indeed,5,86,1,0,0,,,,,
STU_000022,Top-tier,Medium,West,Humanities,2.48,1,3,2,LinkedIn,7,74,7,1,0,,,,,
STU_000023,Mid-tier,Large,West,STEM,3.2,0,0,6,LinkedIn,5,31,0,0,0,,,,,
STU_000024,Mid-tier,Large,Northeast,STEM,3.63,4,1,0,Handshake,10,93,4,3,1,31.0,93855.0,Mid-Size,6.0,1.0
STU_000025,Mid-tier,Small,Northeast,STEM,3.61,3,1,3,Handshake,1,5,0,0,0,,,,,
STU_000026,Lower-tier,Medium,South,STEM,3.06,1,2,2,Handshake,1,7,2,1,0,,,,,
STU_000027,Mid-tier,Small,South,Healthcare,3.27,0,3,5,Handshake,5,28,2,1,1,59.0,58528.0,Mid-Size,8.0,1.0
STU_000028,Mid-tier,Large,Midwest,Humanities,3.09,0,2,1,LinkedIn,9,115,4,1,0,,,,,
STU_000029,Mid-tier,Medium,West,STEM,3.14,1,3,1,LinkedIn,9,72,2,0,0,,,,,
STU_000030,Top-tier,Medium,Northeast,Healthcare,3.59,4,1,2,LinkedIn,10,5,2,1,1,42.0,83653.0,Mid-Size,9.0,1.0
STU_000031,Mid-tier,Large,Midwest,Humanities,2.7,4,2,3,Indeed,3,50,3,2,1,43.0,64481.0,Mid-Size,6.0,1.0
STU_000032,Mid-tier,Medium,West,Business,3.1,3,4,2,LinkedIn,6,62,2,1,0,,,,,
STU_000033,Top-tier,Large,Northeast,STEM,3.2,2,1,3,Handshake,7,40,3,3,1,31.0,99845.0,Mid-Size,8.0,1.0
STU_000034,Lower-tier,Large,Midwest,Healthcare,3.18,3,1,2,Indeed,10,125,0,0,0,,,,,
STU_000035,Lower-tier,Large,Midwest,Healthcare,3.33,0,4,1,Handshake,12,72,3,1,1,37.0,57200.0,Mid-Size,10.0,1.0
STU_000036,Lower-tier,Small,West,STEM,2.64,1,3,2,Handshake,12,42,4,1,0,,,,,
STU_000037,Mid-tier,Small,Midwest,Healthcare,2.87,0,0,3,Indeed,9,130,6,2,1,42.0,38957.0,Mid-Size,3.0,1.0
STU_000038,Top-tier,Large,South,Arts,2.88,0,2,4,LinkedIn,10,61,3,0,0,,,,,
STU_000039,Lower-tier,Large,Midwest,Arts,3.09,0,5,5,Indeed,5,49,1,0,0,,,,,
STU_000040,Mid-tier,Medium,Northeast,STEM,2.8,2,3,2,Indeed,4,24,2,2,1,34.0,75671.0,Mid-Size,4.0,1.0
STU_000041,Top-tier,Medium,South,Business,3.54,0,1,4,Indeed,8,33,0,0,0,,,,,
STU_000042,Mid-tier,Medium,West,STEM,2.93,1,0,4,Indeed,9,142,1,0,0,,,,,
STU_000043,Top-tier,Large,Midwest,Business,2.65,1,0,5,LinkedIn,5,45,3,2,1,46.0,86727.0,Mid-Size,7.0,0.0
STU_000044,Lower-tier,Large,West,Humanities,4.0,0,2,5,Indeed,4,58,0,0,0,,,,,
STU_000045,Mid-tier,Medium,West,Humanities,3.66,0,2,0,LinkedIn,10,88,4,1,0,,,,,
STU_000046,Lower-tier,Medium,South,Business,3.55,2,2,5,Handshake,2,10,2,1,1,30.0,73898.0,Enterprise,9.0,0.0
STU_000047,Mid-tier,Medium,Midwest,Healthcare,3.93,1,1,1,Handshake,7,15,2,1,1,51.0,52353.0,Enterprise,9.0,1.0
STU_000048,Mid-tier,Small,Midwest,Humanities,2.79,1,3,4,LinkedIn,3,34,2,1,1,72.0,72922.0,Mid-Size,5.0,1.0
STU_000049,Mid-tier,Small,Midwest,STEM,2.69,1,4,5,Handshake,2,18,1,0,0,,,,,
STU_000050,Mid-tier,Small,West,Arts,2.95,1,1,2,Indeed,2,20,0,0,0,,,,,
