name,best_val_acc,best_val_top5,best_epoch,epochs_ran,model,augment,lr,backbone_lr,weight_decay,label_smoothing,mixup_alpha,dropout,image_size,batch_size,seed,split_seed,seconds
vit_frozen_5_new,0.9739243807040417,0.9986962190352021,5,5,vit_l_16,vit,0.072,0.0,0.0,0.0,0.0,0.0,224,64,2022,2022,90.4
vit_l16_full5_s2022,0.9739243807040417,0.9986962190352021,5,5,vit_l_16,vit,0.072,0.0,0.0,0.0,0.0,0.0,224,64,2022,2022,101.8
vit_l16_lr072_b64_s2022,0.9739243807040417,0.9986962190352021,5,7,vit_l_16,vit,0.072,0.0,0.0,0.0,0.0,0.0,224,64,2022,2022,126.7
vit_unfreeze4_b8,0.9647979139504563,0.9960886571056062,5,5,vit_l_16,vit,0.072,2e-05,0.0,0.0,0.0,0.0,224,8,2022,2022,203.0
final_full_10ep_seed123,0.8689700130378096,0.9850065189048239,10,10,resnet34,basic,0.003,2e-05,0.0001,0.0,0.2,0.2,224,256,123,42,121.7
final_mixup02_10ep_seed123,0.8689700130378096,0.9856584093872229,10,10,resnet34,basic,0.003,2e-05,0.0001,0.0,0.2,0.2,224,256,123,42,115.7
staged_basic_mixup02_10ep,0.8683181225554107,0.9863102998696219,10,10,resnet34,basic,0.003,2e-05,0.0001,0.0,0.2,0.2,224,256,42,42,116.7
final_full_10ep_seed42,0.8676662320730117,0.9863102998696219,10,10,resnet34,basic,0.003,2e-05,0.0001,0.0,0.2,0.2,224,256,42,42,119.1
staged_basic_10ep,0.8657105606258149,0.9863102998696219,10,10,resnet34,basic,0.003,2e-05,0.0001,0.0,0.0,0.2,224,256,42,42,114.9
staged_strong_10ep,0.8657105606258149,0.9856584093872229,9,10,resnet34,strong,0.003,2e-05,0.0001,0.0,0.0,0.2,224,256,42,42,94.6
highres288_mixup02_10ep,0.8650586701434159,0.9856584093872229,10,10,resnet34,basic,0.003,2e-05,0.0001,0.0,0.2,0.2,288,192,42,42,135.4
direct_head_frozen_5ep,0.8604954367666232,0.9882659713168188,5,5,resnet34,basic,0.003,3e-05,0.0001,0.0,0.0,0.2,224,256,42,42,73.2
final_mixup02_16ep_seed42,0.8585397653194263,0.9863102998696219,14,16,resnet34,basic,0.003,2e-05,0.0001,0.0,0.2,0.2,224,256,42,42,159.7
baseline_legacy_5ep,0.8415906127770535,0.984354628422425,5,5,legacy_resnet34,original,0.0005,0.0,1e-05,0.0,0.0,0.0,224,256,42,42,65.7
direct_head_basic_6ep,0.8324641460234681,0.9810951760104303,5,6,resnet34,basic,0.0008,8e-05,0.0001,0.1,0.0,0.25,224,256,42,42,82.8
