run_id      , experiment, model            , fold, epoch, train_loss          , train_acc         , val_loss           , val_acc           , val_rmse_dollars  , val_mae_dollars   , val_r2            , seconds
baseline_s42, baseline  , ridge            ,    1,     1, 0.0910689267354307  , 0.8058419243986255, 0.1221628600148414 , 0.726027397260274 , 19442.679251625057, 13473.504909676509, 0.9279749149884606,  0.0270726999999999
baseline_s42, baseline  , ridge            ,    2,     1, 0.0930362226098692  , 0.8128755364806867, 0.1111717928705593 , 0.7353951890034365, 17982.69178596791 , 12888.380227884803, 0.9438519579438056,  0.0202841999999999
baseline_s42, baseline  , ridge            ,    3,     1, 0.0907590959963405  , 0.8025751072961373, 0.11637301382967   , 0.7663230240549829, 20399.24328371781 , 13652.500062097615, 0.938643022451816 ,  0.0199519999999999
baseline_s42, baseline  , ridge            ,    4,     1, 0.0923567863106462  , 0.8163090128755365, 0.1170491316513787 , 0.738831615120275 , 22979.8047913488  , 14099.28890844245 , 0.9093133983032096,  0.0199699999999999
baseline_s42, baseline  , ridge            ,    5,     1, 0.0957593440484519  , 0.8017167381974248, 0.0976023982345332 , 0.7525773195876289, 21433.682031100627, 13253.7658690717  , 0.9189814770327336,  0.0200554
baseline_s42, baseline  , elasticnet       ,    1,     1, 0.0931218612947111  , 0.8075601374570447, 0.117825578773054  , 0.7226027397260274, 18972.709722270127, 13186.279053460632, 0.9314148203345506,  0.8331169
baseline_s42, baseline  , elasticnet       ,    2,     1, 0.0935677962439747  , 0.8               , 0.1104486768932289 , 0.7663230240549829, 17964.31169667681 , 12470.355170879831, 0.9439666769895064,  0.0828519
baseline_s42, baseline  , elasticnet       ,    3,     1, 0.0918847936040364  , 0.7982832618025751, 0.1165044489111801 , 0.7663230240549829, 20668.9240683378  , 13753.031296389236, 0.9370100037089026,  0.1144575999999999
baseline_s42, baseline  , elasticnet       ,    4,     1, 0.093727112041834   , 0.8103004291845494, 0.1128408507219464 , 0.7353951890034365, 22525.502147860065, 13742.280442001947, 0.9128636387672786,  0.2284853
baseline_s42, baseline  , elasticnet       ,    5,     1, 0.0963943264666154  , 0.7879828326180257, 0.0973939353725714 , 0.7525773195876289, 21071.014583453583, 12920.895270394554, 0.9217000203071332,  0.0953403999999999
baseline_s42, baseline  , gradient_boosting,    1,  1200, 0.0605227616652964  , 0.9579037800687286, 0.1316688143316546 , 0.7397260273972602, 20239.72376077658 , 13836.80926292    , 0.9219485963082428,  7.762024999999999
baseline_s42, baseline  , gradient_boosting,    2,  1200, 0.0663168471383102  , 0.9562231759656652, 0.1115303818379882 , 0.711340206185567 , 18551.662831834496, 13275.744788440108, 0.9402427091397464,  7.704228400000002
baseline_s42, baseline  , gradient_boosting,    3,  1200, 0.0595468555918759  , 0.951931330472103 , 0.1261692827195821 , 0.7285223367697594, 22553.832248986702, 14845.666298105958, 0.9249973626362652,  7.723209799999999
